alpine_url;arch;bdate;branch;description;license;maintainer;name;pkg_url;repo;version
https://metacpan.org/release/Params-ValidationCompiler;armv7;2018-09-27 15:34:13;edge;Params::ValidationCompiler perl module (documentation);GPL or Artistic-2.0;Leonardo Arena;perl-params-validationcompiler-doc;/package/edge/main/armv7/perl-params-validationcompiler-doc;main;0.27-r0
http://search.cpan.org/dist/Exporter-Tiny/;armv7;2018-09-27 15:32:29;edge;An exporter with the features of Sub::Exporter but only core dependencies;GPL PerlArtistic;Natanael Copa;perl-exporter-tiny;/package/edge/main/armv7/perl-exporter-tiny;main;1.002001-r0
http://search.cpan.org/dist/Exporter-Tiny/;armv7;2018-09-27 15:32:28;edge;An exporter with the features of Sub::Exporter but only core dependencies (documentation);GPL PerlArtistic;Natanael Copa;perl-exporter-tiny-doc;/package/edge/main/armv7/perl-exporter-tiny-doc;main;1.002001-r0
http://search.cpan.org/dist/Exception-Class/;armv7;2018-09-27 15:31:24;edge;A module that allows you to declare real exception classes in Perl;GPL PerlArtistic;Timo Teräs;perl-exception-class;/package/edge/main/armv7/perl-exception-class;main;1.44-r0
http://search.cpan.org/dist/Exception-Class/;armv7;2018-09-27 15:31:21;edge;A module that allows you to declare real exception classes in Perl (documentation);GPL PerlArtistic;Timo Teräs;perl-exception-class-doc;/package/edge/main/armv7/perl-exception-class-doc;main;1.44-r0
http://search.cpan.org/dist/Class-Data-Inheritable/;armv7;2018-09-27 15:30:40;edge;Inheritable, overridable class data;GPL PerlArtistic;Timo Teräs;perl-class-data-inheritable;/package/edge/main/armv7/perl-class-data-inheritable;main;0.08-r0
http://search.cpan.org/dist/Class-Data-Inheritable/;armv7;2018-09-27 15:30:36;edge;Inheritable, overridable class data (documentation);GPL PerlArtistic;Timo Teräs;perl-class-data-inheritable-doc;/package/edge/main/armv7/perl-class-data-inheritable-doc;main;0.08-r0
http://search.cpan.org/dist/Module-Pluggable/;armv7;2018-09-27 15:29:27;edge;automatically give your module the ability to have plugins;GPL PerlArtistic;Timo Teräs;perl-module-pluggable;/package/edge/main/armv7/perl-module-pluggable;main;5.2-r0
http://search.cpan.org/dist/Module-Pluggable/;armv7;2018-09-27 15:29:19;edge;automatically give your module the ability to have plugins (documentation);GPL PerlArtistic;Timo Teräs;perl-module-pluggable-doc;/package/edge/main/armv7/perl-module-pluggable-doc;main;5.2-r0
http://search.cpan.org/dist/Scope-Guard/;armv7;2018-09-27 15:29:05;edge;Scope::Guard perl module;GPL-2.0 or Artistic;Natanael Copa;perl-scope-guard;/package/edge/main/armv7/perl-scope-guard;main;0.21-r0
http://search.cpan.org/dist/Scope-Guard/;armv7;2018-09-27 15:29:02;edge;Scope::Guard perl module (documentation);GPL-2.0 or Artistic;Natanael Copa;perl-scope-guard-doc;/package/edge/main/armv7/perl-scope-guard-doc;main;0.21-r0
http://search.cpan.org/dist/Sub-Info/;armv7;2018-09-27 15:28:20;edge;Tool for inspecting subroutines.;GPL PerlArtistic;William Pitcock;perl-sub-info;/package/edge/main/armv7/perl-sub-info;main;0.002-r0
